approach,zipf_parameter,mean,median,std
1,0_125,6.0947,6.0975,0.4
1,0_25,6.1484,5.9618,0.401
1,0_375,7.3,7.2829,0.2766
1,0_5,7.7381,7.7031,0.2029
1,0_625,7.559,7.5802,0.0788
1,0_75,7.5838,7.5142,0.1525
1,0_875,7.3383,7.3006,0.1759
1,1,7.6144,7.4739,0.3613
1,1_125,7.258,7.2901,0.1856
1,1_25,7.3692,7.3735,0.1932
1,1_375,7.2254,7.2523,0.1588
1,1_5,7.1155,7.1232,0.1948
1,1_625,7.0758,7.0331,0.0925
1,1_75,7.0859,7.1017,0.0942
1,1_875,7.0769,7.026,0.0988
1,2,7.1643,7.2108,0.2032
1,2_125,6.0293,5.9166,0.4463
1,2_25,7.0335,6.9752,0.1576
1,2_375,7.1656,7.2147,0.1778
1,2_5,7.2273,7.223,0.1337
1,2_625,7.1941,7.2115,0.1331
1,2_75,7.0527,7.0479,0.0802
1,2_875,7.2251,7.275,0.196
1,3,7.2286,7.1739,0.1328
2,0_125,6.4917,6.6135,0.1924
2,0_25,6.5391,6.4888,0.338
2,0_375,7.7904,7.8358,0.1979
2,0_5,8.023,8.0161,0.1427
2,0_625,7.9063,7.9141,0.1835
2,0_75,7.8837,7.6017,0.4151
2,0_875,7.5721,7.5935,0.1864
2,1,7.5152,7.42,0.2304
2,1_125,7.737,7.3013,0.6685
2,1_25,7.4792,7.4185,0.1196
2,1_375,7.2957,7.1879,0.2542
2,1_5,7.5643,7.4253,0.3124
2,1_625,7.245,7.2179,0.071
2,1_75,7.1429,7.1295,0.0974
2,1_875,7.4656,7.418,0.3501
2,2,7.269,7.2925,0.0862
2,2_125,6.2763,6.118,0.4877
2,2_25,7.2614,7.3389,0.1588
2,2_375,7.4654,7.443,0.1624
2,2_5,7.3622,7.339,0.0418
2,2_625,7.2852,7.3228,0.1141
2,2_75,7.3371,7.362,0.0752
2,2_875,7.3413,7.2951,0.117
2,3,7.4176,7.4724,0.1331
3,0_125,6.9004,6.891,0.0211
3,0_25,3.1514,3.1504,0.0074
3,0_375,2.0727,2.0702,0.016
3,0_5,1.4264,1.4139,0.0192
3,0_625,1.1569,1.1573,0.0032
3,0_75,0.9695,0.9673,0.0112
3,0_875,0.9591,0.961,0.0099
3,1,0.8106,0.8077,0.0051
3,1_125,0.8038,0.8056,0.0034
3,1_25,0.7785,0.7748,0.0079
3,1_375,0.7814,0.779,0.0131
3,1_5,0.7248,0.7274,0.0069
3,1_625,0.6864,0.6869,0.0034
3,1_75,0.6867,0.6868,0.0039
3,1_875,0.6747,0.675,0.0024
3,2,0.6692,0.6694,0.0038
3,2_125,0.6248,0.623,0.0057
3,2_25,0.6198,0.619,0.0041
3,2_375,0.606,0.6062,0.0016
3,2_5,0.5913,0.5882,0.016
3,2_625,0.6079,0.6082,0.0118
3,2_75,0.5193,0.5218,0.0046
3,2_875,0.5256,0.5221,0.0081
3,3,0.4944,0.4914,0.0044
